Advisory Level,Advisory_Date_of_Recommendation,AdvisoryDetail,Advisory_Detail_Description,Bloom_Date_Created,Bloom_Report_ID,Advisory Level,AdvisoryLevelDescription,Contact_Organization,County,Landmark,Observation_Date,Rec_Land_Manager,Regional_Water_Board,Water_Body_Manager,Water_Body_Name,DetailStaticText,Bloom_Longitude_Corrected,Bloom_Latitude
Last verified >30 days ago,10/9/2024,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,6/30/2023 12:14,4221,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,,Mono,Pullout South of Ag Station,6/19/2023 0:00,,Region 6 - Lahontan,,Topaz Lake,Detail,-119.54835,38.67176
Last verified >30 days ago,9/12/2024,Under investigation,This report is under investigation.,9/10/2024 15:08,4706,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,,Mono,"Jeffrey Mine Canyon, Jeffrey Mine/Champion Spark Mine",9/7/2024 0:00,,Region 6 - Lahontan,,Unnamed wetland,Detail,-118.319,37.61702
Last verified >90 days ago,6/28/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/21/2024 14:03,4486,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CENTRAL COAST REGIONAL WATER QUALITY CONTROL BOARD,Monterey,Lake San Antonio at North Shore McCandless Springs Campground (309SANTMC),5/15/2024 0:00,,Region 3 - Central Coast,,Lake San Antonio,Detail,-120.97624,35.86189
Last verified >90 days ago,5/21/2024,Advisory based on visual and toxins; Alert-high concentration toxins; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Alert! High concentration of one or more cyanotoxins measured at this site indicating elevated health risk to humans and animals.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/27/2022 9:15,3425,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Central Coast Regional Water Quality Control Board,Monterey,Lake San Antonio at South Shore (309SANTBE) Marina Launch,5/19/2022 0:00,City Department,Region 3 - Central Coast,Unknown,Lake San Antonio,Detail,-120.95438,35.83303
Last verified >90 days ago,7/15/2024,Suspected illness reported; Under investigation,"Suspected illness was reported and is under investigation by the Interagency HAB-related Illness Workgroup, no determination has been made.  This report is under investigation.",7/12/2024 16:47,4596,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CA Dept of Fish and Wildlife,Monterey,Salinas River Diversion Structure near ReGen Monterey,7/9/2024 0:00,,Region 3 - Central Coast,,Salinas River,Detail,-121.75073,36.70916
Last verified >30 days ago,8/26/2024,Lake-wide advisory,Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.,7/9/2024 15:08,4572,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Co. Monterey Env Health Dept,Monterey,San Antonio Lake north and south shore recreational areas,7/8/2024 0:00,County Environmental Health Department,Region 3 - Central Coast,,San Antonio Lake,Detail,-120.92128,35.81212
Last verified >90 days ago,4/4/2024,"Suspected bloom, investigation ongoing","A suspected harmful algal bloom was reported, an investigation is underway and this report will be updated once info is provided by the responding organizations.",4/3/2024 10:36,4444,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Napa,Lake Hennessey along Sage Canyon Road,3/31/2024 0:00,,Region 2 - San Francisco Bay,,Lake Hennessey,Detail,-122.35607,38.48367
Last verified >90 days ago,6/27/2024,No cyano bloom w/testing,Water testing of samples did not detect presence of harmful algal bloom produced by cyanobacteria.,5/20/2022 12:04,3335,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,San Francisco Bay Regional Water Quality Control Board,Napa,Napa River at Yountville Ecopreserve,5/11/2022 0:00,,Region 2 - San Francisco Bay,,Napa River,Detail,-122.70847,38.00513
Last verified >30 days ago,8/28/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",6/27/2024 9:13,4535,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Napa ICARE,Napa,Napa River at Zinfandel Lane,6/20/2024 0:00,,Region 2 - San Francisco Bay,,Napa River,Detail,-122.4256,38.49549
Last verified >30 days ago,8/28/2024,"No cyano, other algae present.",Water testing of samples indicated no harmful algal bloom produced by cyanobacteria was present. Other types of nuisance algae are present that are not known to produce toxins.,8/28/2024 10:29,4684,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Napa ICARE,Napa,Napa River ecology reserve by Yountville Cross Rd,8/20/2024 0:00,,Region 2 - San Francisco Bay,,Napa River,Detail,-122.35298,38.41897
Last verified >90 days ago,6/27/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",6/27/2024 9:22,4536,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Napa ICARE,Napa,Redwood Creek at Alston Park (206RED140),6/18/2024 0:00,,Region 2 - San Francisco Bay,,Redwood Creek,Detail,-122.34842,38.32486
Last verified >30 days ago,10/9/2024,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,6/30/2023 11:46,4214,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,,Nevada,Last Pullout Before Boca Rest Campground,6/19/2023 0:00,,Region 6 - Lahontan,,Boca Reservoir,Detail,-120.08797,39.41662
Last verified >90 days ago,5/22/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/22/2024 8:10,4487,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Nevada,marina,5/15/2024 0:00,,Region 5 - Central Valley,,Lake Wildwood,Detail,-121.21416,39.24111
Last verified >30 days ago,10/9/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",6/30/2023 11:52,4216,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,,Nevada,Lakeside Campground,6/19/2023 0:00,,Region 6 - Lahontan,,Prosser Creek Reservoir,Detail,-120.16747,39.3824
Last verified >90 days ago,5/10/2024,,,5/10/2024 8:40,4471,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,Orange,Cold Spring Canyon above Devil Cyn Creek,5/3/2024 0:00,,Region 9 - San Diego,,Cold Stream Canyon,Detail,-117.43071,33.49366
Last verified >90 days ago,5/3/2024,,,5/3/2024 9:05,4458,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Orange,San Diego Creek Randon SMC Site 19486,4/23/2024 0:00,,Region 8 - Santa Ana,,San Diego Creek,Detail,-117.82699,33.67626
Last verified >90 days ago,8/13/2024,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,8/5/2022 16:40,3611,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,California Tahoe Conservancy,Placer,Dollar bike path where it crosses Dollar Creek,8/4/2022 0:00,,Region 6 - Lahontan,,Dollar Creek Reservior,Detail,-120.10874,39.20111
Last verified >30 days ago,9/24/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",5/25/2022 11:37,3387,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,CA State Parks and Recreation,Placer,Upper Lake Clementine Beach,5/16/2022 0:00,,Region 5 - Central Valley,,Lake Clementine,Detail,-120.97233,38.96767
Last verified >30 days ago,8/21/2024,Lake-wide advisory; Visual monitoring only-present bloom,Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.  Visual observation of harmful algal bloom from shoreline or boat. Water testing was not conducted to measure toxicity of bloom according to statewide guidelines. Contact the water or land manager listed above to request water testing due to the confirmed visible bloom.,8/20/2024 8:06,4662,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,,Placer,Alpine Meadows,8/19/2024 0:00,,Region 6 - Lahontan,,Lake Estelle,Detail,-120.24998,39.16377
Last verified >30 days ago,8/27/2024,Visual monitoring only-absent bloom,"No bloom was observed at this location from the shoreline or boat. Therefore, no water testing to measure for bloom associated toxins was conducted. Check upstream lakes or channels for presence of a bloom since bloom material and toxins can be transported downstream.",7/3/2024 8:03,4548,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,,Placer,Commons Beach,6/26/2024 0:00,,Region 6 - Lahontan,,Lake Tahoe,Detail,-120.14146,39.16963
Last verified >30 days ago,10/9/2024,Advisory based on visual and toxins; Testing results below posting triggers,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.,7/3/2024 8:05,4549,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,,Placer,Kings Beach,6/26/2024 0:00,,Region 6 - Lahontan,,Lake Tahoe,Detail,-120.02571,39.23605
Last verified >90 days ago,7/31/2024,Visual monitoring only-absent bloom,"No bloom was observed at this location from the shoreline or boat. Therefore, no water testing to measure for bloom associated toxins was conducted. Check upstream lakes or channels for presence of a bloom since bloom material and toxins can be transported downstream.",8/1/2024 8:01,4639,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Placer,Speedboat Beach,7/29/2024 0:00,,Region 6 - Lahontan,,Lake Tahoe,Detail,-120.00863,39.22297
Algal mat alert,10/23/2024,Advisory based on visual and toxins; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/25/2022 11:33,3386,Algal mat alert,"Stay away from algal mats in the water. Do NOT let pets drink the water or eat algal mats in the water or on the shore. Keep Children AWAY from algal mats and do NOT allow children to touch or eat algal mats. Algal mats can be attached to the bottom of the waterway, floating in the water, or washed up on shore. Swimming is allowed in areas without algal mats.",CA State Parks and Recreation,Placer,Mineral Bar,5/17/2022 0:00,,Region 5 - Central Valley,,North Fork American River,Detail,-120.92474,39.10088
None,10/23/2024,Advisory based on visual and toxins; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/25/2022 11:45,3389,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,CA State Parks and Recreation,Placer,Oregon Bar,5/16/2022 0:00,,Region 5 - Central Valley,,North Fork American River,Detail,-121.05959,38.86271
None,10/23/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",9/24/2024 14:59,4715,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,California State Parks @ Gold Fields District,Placer,Ponderosa Way,9/16/2024 0:00,,Region 5 - Central Valley,,North Fork American River,Detail,-120.94132,39
None,10/23/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",5/25/2022 11:43,3388,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,CA State Parks and Recreation,Placer,Rattlesnake Bar,5/16/2022 0:00,,Region 5 - Central Valley,,North Fork American River,Detail,-121.09477,38.81963
None,10/23/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",10/23/2024 15:16,4735,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,California State Parks @ Gold Fields District,Placer,Mississippi Bar,10/15/2024 0:00,,Region 5 - Central Valley,,North form American River,Detail,-121.21442,38.64283
Last verified >90 days ago,5/8/2024,Bottom/benthic bloom observed,"Observations at this site include confirmation of harmful algal bloom that  forms potential toxic algal mats that grow attached to cobble, sand, and plants on the bottom of the waterway. The water can appear clear when algal mats are attached to the bottom. These mats can dislodge and float downstream or strand on the shoreline, children and dogs should avoid touching mat material.",5/8/2024 16:01,4465,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,California Fish and Wildlife,Placer,above Washington Blvd (519PS1154),5/1/2024 0:00,City Department,Region 5 - Central Valley,,Pleasant Grove Creek South Fork,Detail,-121.3015,38.7674
Algal mat general awareness,10/18/2024,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,8/23/2024 10:37,4673,Algal mat general awareness,No bloom advisory. General awareness signs are educational and are recommended to be displayed at recreational waterbodies to provide info on potential bloom conditions and precautions.,,Plumas,associated meadow restoration ponds and Smith Creek Road Bridge,8/9/2024 0:00,,Region 5 - Central Valley,,Smith Creek,Detail,-120.64527,39.76778
Last verified >30 days ago,8/28/2024,Alert-high concentration toxins,Alert! High concentration of one or more cyanotoxins measured at this site indicating elevated health risk to humans and animals.,8/28/2024 14:28,4686,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Water Boards,Riverside,Boulder Bay south east end of cove,8/20/2024 0:00,City Department,Region 8 - Santa Ana,,Big Bear Lake,Detail,-116.94944,34.239
Last verified >90 days ago,5/10/2024,,,5/10/2024 8:44,4472,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,Riverside,Cole Creek (SMC08157),5/4/2024 0:00,,Region 9 - San Diego,,Cole Creek,Detail,-117.26484,33.53913
Last verified >90 days ago,7/15/2024,Lake-wide advisory,Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.,7/5/2023 16:50,4232,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Riverside,west of marina,7/1/2023 0:00,Metropolitan Water District of Southern California,Region 9 - San Diego,Metropolitan Water District of Southern California,Diamond valley lake,Detail,-117.0132,33.69481
Last verified >90 days ago,5/20/2024,Advisory based on visual and toxins; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/20/2024 15:37,4483,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Colorado River Basin RWQCB,Riverside,Lake Cahuilla Veterans Regional Park,5/9/2024 0:00,,Region 7 - Colorado River,,Lake Cahuilla,Detail,-116.27636,33.6312
Caution,10/17/2024,Floating/planktonic bloom observed; Lake-wide advisory; Updates from routine monitoring program-organization,"Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.  Observations at this site include confirmation of harmful algal bloom that forms floating/planktonic blooms. Children and dogs should avoid skin contact with bloom material that may appear as discolored water, milky water, with a surface sheen (like spilled paint), or scum.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",2/10/2023 10:45,4056,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",City of Lake Elsinore,Riverside,Elm Grove Beach (city site),2/7/2023 0:00,City Department,Region 8 - Santa Ana,City Department,Lake Elsinore,Detail,-117.33548,33.66581
Caution,10/17/2024,Lake-wide advisory; Updates from routine monitoring program-organization,"Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",2/10/2023 10:47,4057,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",City of Lake Elsinore,Riverside,Launch Pointe Boat Ramp (city site),2/7/2023 0:00,City Department,Region 8 - Santa Ana,City Department,Lake Elsinore,Detail,-117.35977,33.67269
Caution,10/17/2024,Floating/planktonic bloom observed; Lake-wide advisory; Updates from routine monitoring program-organization,"Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.  Observations at this site include confirmation of harmful algal bloom that forms floating/planktonic blooms. Children and dogs should avoid skin contact with bloom material that may appear as discolored water, milky water, with a surface sheen (like spilled paint), or scum.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",2/10/2023 10:52,4059,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",City of Lake Elsinore,Riverside,mid-lake (city site),2/7/2023 0:00,City Department,Region 8 - Santa Ana,City Department,Lake Elsinore,Detail,-117.35421,33.66334
Caution,10/17/2024,Advisory based on visual and toxins; Lake-wide advisory; Updates from routine monitoring program-organization,"Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.  Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/18/2023 11:58,4105,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",,Riverside,Perret Park,5/11/2023 0:00,City Department,Region 8 - Santa Ana,City Department,Lake Elsinore,Detail,-117.34358,33.64159
Caution,10/17/2024,Floating/planktonic bloom observed; Lake-wide advisory; Updates from routine monitoring program-organization,"Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.  Observations at this site include confirmation of harmful algal bloom that forms floating/planktonic blooms. Children and dogs should avoid skin contact with bloom material that may appear as discolored water, milky water, with a surface sheen (like spilled paint), or scum.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",2/10/2023 10:49,4058,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",City of Lake Elsinore,Riverside,West Marina (city site),2/7/2023 0:00,City Department,Region 8 - Santa Ana,City Department,Lake Elsinore,Detail,-117.37807,33.66666
Last verified >90 days ago,8/1/2024,Advisory based on visual and toxins; Bottom/benthic bloom observed; Floating/planktonic bloom observed,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Observations at this site include confirmation of harmful algal bloom that  forms potential toxic algal mats that grow attached to cobble, sand, and plants on the bottom of the waterway. The water can appear clear when algal mats are attached to the bottom. These mats can dislodge and float downstream or strand on the shoreline, children and dogs should avoid touching mat material.  Observations at this site include confirmation of harmful algal bloom that forms floating/planktonic blooms. Children and dogs should avoid skin contact with bloom material that may appear as discolored water, milky water, with a surface sheen (like spilled paint), or scum.",7/18/2024 12:00,4614,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,City of Riverside,Riverside,Fairmount Park,7/18/2024 0:00,City Department,Region 8 - Santa Ana,City Department,Lake Evans,Detail,-117.37958,33.99576
Last verified >30 days ago,8/26/2024,Advisory based on visual and toxins; Lake-wide advisory; Updates from routine monitoring program-organization,"Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.  Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",6/22/2023 13:28,4171,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,SANTA ANA RWQCB,Riverside,boat launch-campground (802LHBL1),6/15/2023 0:00,,Region 8 - Santa Ana,,Lake Hemet,Detail,-116.67973,33.66715
Caution,10/18/2024,Lake-wide advisory; Visual monitoring only-present bloom,Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.  Visual observation of harmful algal bloom from shoreline or boat. Water testing was not conducted to measure toxicity of bloom according to statewide guidelines. Contact the water or land manager listed above to request water testing due to the confirmed visible bloom.,10/9/2024 13:12,4725,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",,Riverside,marina and open water on east side,10/5/2024 0:00,,Region 8 - Santa Ana,,Lake Hemet,Detail,-116.68111,33.6668
Last verified >30 days ago,8/26/2024,Lake-wide advisory; Updates from routine monitoring program-organization,"Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/10/2023 13:06,3909,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Regional Water Quality Control Board,Riverside,northwest shore (802LHN004),10/6/2022 0:00,,Region 8 - Santa Ana,,Lake Hemet,Detail,-116.69973,33.66793
None,11/8/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/28/2024 10:56,4497,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,California Department of Water Resources (DWR),Riverside,"Lake Perris, Outlet PE002 (surface)",5/24/2024 0:00,California State Parks,Region 8 - Santa Ana,California Department of Water Resources,Lake Perris,Detail,-117.17628,33.83971
None,11/8/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/10/2023 15:31,3920,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Department of Water Resources (DWR),Riverside,Moreno Swim Beach,1/26/2022 0:00,,Region 8 - Santa Ana,,Lake Perris,Detail,-117.17138,33.8683
None,11/8/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",1/10/2023 15:37,3922,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Department of Water Resources (DWR),Riverside,Perris Swim Beach,1/26/2022 0:00,California State Parks,Region 8 - Santa Ana,California Department of Water Resources,Lake Perris,Detail,-117.18694,33.86278
Last verified >30 days ago,9/9/2024,Advisory based on visual and toxins; Lake-wide advisory,Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.  Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,1/2/2024 19:45,4420,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Fish and Wildlife,Riverside,northern end of lake,12/28/2023 0:00,,Region 8 - Santa Ana,,Mystic Lake,Detail,-117.08857,33.88543
Last verified >90 days ago,5/10/2024,,,5/10/2024 8:28,4470,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,Riverside,North Fork San Jacinto Creek Random SMC Site 29064 (802S29064),5/10/2024 0:00,,Region 8 - Santa Ana,,North Fork San Jacinto Creek,Detail,-116.7426,33.79564
Last verified >90 days ago,7/5/2024,Suspected illness reported,"Suspected illness was reported and is under investigation by the Interagency HAB-related Illness Workgroup, no determination has been made.",7/5/2024 8:51,4565,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Riverside,Cottonwood lake (also named),7/4/2024 0:00,,Region 8 - Santa Ana,,Reflection Lake,Detail,-117.0316,33.7857
Last verified >90 days ago,7/11/2024,Lake-wide advisory; Suspected illness reported; Under investigation; Visual monitoring only-present bloom,"Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.  Suspected illness was reported and is under investigation by the Interagency HAB-related Illness Workgroup, no determination has been made.  This report is under investigation.  Visual observation of harmful algal bloom from shoreline or boat. Water testing was not conducted to measure toxicity of bloom according to statewide guidelines. Contact the water or land manager listed above to request water testing due to the confirmed visible bloom.",7/10/2024 16:55,4580,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Riverside,near RV park,7/10/2024 0:00,,Region 8 - Santa Ana,,Reflection Lake,Detail,-117.03283,33.78657
Last verified >90 days ago,2/21/2024,Floating/planktonic bloom observed,"Observations at this site include confirmation of harmful algal bloom that forms floating/planktonic blooms. Children and dogs should avoid skin contact with bloom material that may appear as discolored water, milky water, with a surface sheen (like spilled paint), or scum.",2/21/2024 10:41,4434,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CDFW,Riverside,North Shore Beach and Yacht Club,2/14/2024 0:00,,Region 7 - Colorado River,,Salton Sea,Detail,-115.6923,33.11582
Last verified >90 days ago,5/17/2024,Advisory based on visual and toxins; Bottom/benthic bloom observed,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Observations at this site include confirmation of harmful algal bloom that  forms potential toxic algal mats that grow attached to cobble, sand, and plants on the bottom of the waterway. The water can appear clear when algal mats are attached to the bottom. These mats can dislodge and float downstream or strand on the shoreline, children and dogs should avoid touching mat material.",1/18/2023 14:36,3981,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CRWQCB R7,Riverside,Salton Sea State Recreation Area,1/1/2023 0:00,,Region 7 - Colorado River,,Salton Sea,Detail,-115.91818,33.50452
Last verified >90 days ago,5/3/2024,,,5/3/2024 9:22,4461,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Riverside,San Jacinto River Random SMC Site 26909,4/25/2024 0:00,,Region 8 - Santa Ana,,San Jacinto River,Detail,-117.27518,33.66638
Last verified >90 days ago,5/17/2024,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,5/17/2024 8:49,4479,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,Riverside,Strawberry Creek Random Olsen Site 020 (802SWC020),5/9/2024 0:00,,Region 8 - Santa Ana,,Strawberry Creek,Detail,-116.68733,33.76842
